Study,File,Variable,Variable Label,Type,N Non-missing,N Missing,Lowest Value,10% Value,20% Value,30% Value,40% Value,50% Value,60% Value,70% Value,80% Value,90% Value,Highest Value
EMD_NCT01016483_1_mek,AE,STUDYID,Study Identifier,Char,930,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,AE,DOMAIN,Domain Abbreviation,Char,930,0,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE
EMD_NCT01016483_1_mek,AE,USUBJID,Unique Subject Identifier,Char,930,0,1,5,8,16,21,21,26,32,36,39,44
EMD_NCT01016483_1_mek,AE,AESEQ,Sequence Number,Num,930,0,1,3,5,8,11,15,21,32,55,102,187
EMD_NCT01016483_1_mek,AE,AESPID,Sponsor-Defined Identifier,Char,930,0,1,11,130,162,2,26,34,45,6,8,99
EMD_NCT01016483_1_mek,AE,AETERM,Reported Term for the Adverse Event,Char,0,930,,,,,,,,,,,
EMD_NCT01016483_1_mek,AE,AELLT,Lowest Level Term,Char,930,0,ALT increased,Asthenia,Diarrhea,Fatigue,GOT increased,Hypokalemia,Leucopenia,Neutropenia,Pleural effusion,Thrombocytopenia,White blood cell decreased
EMD_NCT01016483_1_mek,AE,AELLTCD,Lowest Level Term Code,Num,930,0,10000081,10003988,10013649,10016558,10021018,10024283,10029354,10037087,10043569,10051837,10069501
EMD_NCT01016483_1_mek,AE,AEDECOD,Dictionary-Derived Term,Char,930,0,Abdominal distension,Aspartate aminotransferase increased,Cholangitis,Dyspnoea,Gamma-glutamyltransferase increased,Hyponatraemia,Macular fibrosis,Neutropenia,Pyrexia,Thrombocytopenia,White blood cell count decreased
EMD_NCT01016483_1_mek,AE,AEPTCD,Preferred Term Code,Num,930,0,10000060,10003481,10010774,10016256,10020772,10024384,10029354,10033295,10042128,10047700,10075873
EMD_NCT01016483_1_mek,AE,AEHLT,High Level Term,Char,930,0,Acnes,Asthenic conditions,Diarrhoea (excl infective),Gastrointestinal and abdominal pains (excl oral and throat),Leukopenias NEC,Liver function analyses,Nausea and vomiting symptoms,Neutropenias,Potassium imbalance,Thrombocytopenias,White blood cell analyses
EMD_NCT01016483_1_mek,AE,AEHLTCD,High Level Term Code,Num,930,0,10000497,10003550,10012736,10017933,10024385,10024689,10028817,10030113,10042129,10047541,10076292
EMD_NCT01016483_1_mek,AE,AEHLGT,High Level Group Term,Char,930,0,Administration site reactions,Body temperature conditions,Epidermal and dermal conditions,Gastrointestinal signs and symptoms,General system disorders NEC,Hepatic and hepatobiliary disorders,Infections - pathogen unspecified,Platelet disorders,Purine and pyrimidine metabolism disorders,White blood cell disorders,White blood cell disorders
EMD_NCT01016483_1_mek,AE,AEHLGTCD,High Level Group Term Code,Num,930,0,10001316,10005908,10014982,10018012,10018073,10019809,10021879,10035534,10047438,10047954,10076290
EMD_NCT01016483_1_mek,AE,AEBODSYS,Body System or Organ Class,Char,930,0,Blood and lymphatic system disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders,Gastrointestinal disorders,Gastrointestinal disorders,General disorders and administration site conditions,General disorders and administration site conditions,Investigations,Investigations,Musculoskeletal and connective tissue disorders,Vascular disorders
EMD_NCT01016483_1_mek,AE,AEBDSYCD,Body System or Organ Class Code,Num,930,0,10005329,10005329,10005329,10017947,10017947,10018065,10018065,10022891,10022891,10028395,10047065
