Term,Description,Additional info
STUDYID,Study Identifier,Req AE.STUDYID
USUBJID,Unique Subject Identifier,Req AE.USUBJID
SUBJID,Subject Identifier for the Study,ADSL.SUBJID
SITEID,Study Site Identifier,ADSL.SITEID
AE,Adverse Event,
AESEQ,Sequence Number,"Req ""AE.AESEQRequired for traceability back to SDTM AE."""
AETERM,Reported Term for the Adverse Event,Req AE.AETERM
AEDECOD,Dictionary-Derived Term,"MedDRA Req ""AE.AEDECODThis is typically one of the primary variables used in an AE analysis and would be brought in from the SDTM AE domain. Equivalent to the Preferred Term (PT in MedDRA). As mentioned above, all other SDTM AE and SUPPAE domain variables needed for analysis or traceability should also be included. Include the dictionary version in the variable metadata."""
AEBODSYS,Body System or Organ Class,"MedDRA Req ""AE.AEBODSYS This is typically one of the primary variables used by the Sponsor in an AE analysis and would be brought in from the SDTM AE domain. As mentioned above, all other SDTM AE and SUPPAE domain variables needed for analysis or traceability should also be included. Include the dictionary version in the variable metadata."""
AEBDSYCD,Body System or Organ Class Code,"""AE.AEBDSYCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AELLT,Lowest Level Term,"MedDRA Cond ""AE.AELLT This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata. Conditional on whether used for analysis."""
AELLTCD,Lowest Level Term Code,"""AE.AELLTCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AEPTCD,Preferred Term Code,"""AE.AEPTCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AEHLT,High Level Term,"MedDRA Cond ""AE.AEHLT This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata. Conditional on whether used for analysis."""
AEHLTCD,High Level Term Code,"""AE.AEHLTCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AEHLGT,High Level Group Term,"MedDRA Cond ""AE.AEHLGT This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata. Conditional on whether used for analysis."""
AEHLTGCD,High Level Group Term Code,"""AE.AEHLGTCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AESOC,Primary System Organ Class,"MedDRA Cond ""AE.AESOC This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata. Conditional on whether a secondary SOC was used for the primary analysis. See Amendment 1 to SDTM [3]."""
AESOCCD,Primary System Organ Class Code,"""AE.AESOCCD This would be copied from the SDTM AE domain or supplemental qualifier dataset. Include the dictionary version in the variable metadata."""
AESTDTC,Start Date/Time of Adverse Event,Copied from AE.AESTDTC
ASTDT,Analysis Start Date,"Cond ""Created from converting AE.AESTDTC from character ISO8601 format to numeric date format, applying imputation rules as specified in the SAP or metadata. Conditional on whether start date is pertinent for study and AE.AESTDTC is populated in SDTM."""
ASTDTM,Analysis Start Date/Time,"Cond ""Created from converting AE.AESTDTC from character ISO8601 format to numeric date-time format, applying imputation rules as specified in the SAP or metadata. Conditional on whether start date-time is pertinent for study and AE.AESTDTC with time is populated in SDTM."""
ASTDTF,Analysis Start Date Imputation Flag,"(DATEFL) Cond ""Created during conversion of AE.AESTDTC from character to numeric. Imputation flags are described in the ADaMIG V1.0 [2] General Timing Variable Convention #6. Conditional on whether any imputation is done for the start date. """
ASTTMF,Analysis Start Time Imputation Flag,"(TIMEFL) Cond ""Created during conversion of AE.AESTDTC from character to numeric. Imputation flags are described in the ADaMIG V1.0 [2] General Timing Variable Convention #6. Conditional on whether any imputation is done for the start time."""
AEENDTC,End Date/Time of Adverse Event,Copied from AE.AEENDTC
AENDT,Analysis End Date,"Cond ""Created from converting AE.AEENDTC from character ISO8601 format to numeric date format, applying imputation rules as specified in the SAP or metadata. Conditional on whether end date is pertinent for study and AE.AEENDTC is populated in SDTM."""
AENDTM,Analysis End Date/Time,"Cond ""Created from converting AE.AEENDTC from character ISO8601 format to numeric date-time format, applying imputation rules as specified in the SAP or metadata. Conditional on whether end date-time is pertinent for study and AE.AEENDTC with time is populated in SDTM."""
AENDTF,Analysis End Date Imputation Flag,"(DATEFL) Cond ""Created during conversion of AE.AEENDTC from character to numeric. Imputation flags are described in the ADaMIG V1.0 [2] General Timing Variable Convention #6. Conditional on whether any imputation is done for the end date."""
AENTMF,Analysis End Time Imputation Flag,"(TIMEFL) Cond ""Created during conversion of AE.AEENDTC from character to numeric. Imputation flags are described in the ADaMIG V1.0 [2] General Timing Variable Convention #6. Conditional on whether any imputation is done for the end time."""
ASTDY,Analysis Start Relative Day,"Cond ""Example derivation: ASTDT - ADSL.TRTSDT + 1 if ASTDT ≥ TRTSDT, else ASTDT - ADSL.TRTSDT if ASTDT < TRTSDT This variable may instead be copied from AESTDY. Conditional on whether analysis start relative day is pertinent to the study. """
AESTDY,Study Day of Start of Adverse Event,"""AE.AESTDY ASTDY may differ from AESTDY due to date imputation and the option in ADaM to use a reference date other than SDTM's RFSTDTC. Including AE.AESTDY in addition to ASTDY adds traceability."""
AENDY,Analysis End Relative Day,"""Example derivation: AENDT - ADSL.TRTSDT + 1 if AENDT ≥ TRTSDT, else AENDT - ADSL.TRTSDT if AENDT < TRTSDT This variable may instead be copied from AEENDY."""
AEENDY,Study Day of End of Adverse Event,"""AE.AEENDY AENDY may differ from AEENDY due to date imputation and the option in ADaM to use a reference date other than SDTM's RFSTDTC. Including AE.AEENDY in addition to AENDY adds traceability."""
ADURN,AE Duration (N),Derive from ASTDT (or ASTDTM) and AENDT (or AENDTM)
ADURU,AE Duration Units,Cond Conditional on whether ADURN is included.
